feature,mean_importance
APR Severity of Illness Description,-0.0003641009708497234
Abortion Edit Indicator,0.0
Payment Typology 3,0.0002285932799824586
Gender,0.0004351996051232598
Payment Typology 1,0.0005605818028813825
Patient Disposition,0.0005660529521403113
Race,0.000634226416556255
Payment Typology 2,0.0009106679327130884
APR Risk of Mortality,0.0011350373549691094
APR Severity of Illness Code,0.0014903879028589195
APR MDC Code,0.0016423397484752523
Age Group,0.001822378273304065
Length of Stay,0.0020211471256059155
Ethnicity,0.0025083911926259083
Health Service Area,0.0026081222101763555
APR DRG Description,0.0030810782184071796
CCS Procedure Description,0.0059325750341343245
Total Charges,0.006619666625684223
Total Costs,0.008080059384114801
CCS Diagnosis Description,0.008116128935868643
CCS Procedure Code,0.00856863961810223
APR DRG Code,0.01043603273749782
Zip Code - 3 digits,0.01424515224519599
Hospital County,0.018658900427959514
Facility Id,0.03252525928257875
Operating Certificate Number,0.03958406334177347
CCS Diagnosis Code,0.043684941804752644
APR Medical Surgical Description,0.050375203368872204
APR MDC Description,0.05302648925476938
Facility Name,0.05484844174817734
Birth Weight,0.6069342721389015
Emergency Department Indicator,0.7089940140501274
