feature,mean_importance
APR Severity of Illness Description,3.967184396387602e-06
Abortion Edit Indicator,5.5268543571332375e-05
Race,0.00011172792720040431
Ethnicity,0.00014572662640992273
Payment Typology 3,0.00021772095277421965
APR MDC Code,0.0002783976643939229
Patient Disposition,0.0002823641271207544
Payment Typology 1,0.00043309418143984283
Gender,0.0005116699146443984
APR Risk of Mortality,0.0005187991990776616
CCS Procedure Description,0.0006651518165324541
CCS Diagnosis Description,0.0008512524660983526
Type of Admission,0.0009198596022536767
Payment Typology 2,0.0010388779998934533
Emergency Department Indicator,0.0010646682090560717
APR Severity of Illness Code,0.0015873432829677306
APR DRG Description,0.0015963388626664215
Birth Weight,0.0016054611836635758
APR DRG Code,0.002166747617849378
CCS Diagnosis Code,0.0022905730067219313
CCS Procedure Code,0.0024323947002436565
APR Medical Surgical Description,0.0024832230652687276
Age Group,0.005013100353695852
APR MDC Description,0.006313735500311823
Hospital County,0.00729628953631444
Zip Code - 3 digits,0.014818863258782266
Length of Stay,0.014939091570295267
Health Service Area,0.024515405020841718
Facility Id,0.02683065237835829
Operating Certificate Number,0.029871416133825934
Facility Name,0.04983787221110634
predictions,0.2973268397558497
Total Costs,0.8464533473527126
