feature,mean_importance
APR Risk of Mortality,-0.00038301253345136567
APR Severity of Illness Description,-0.0002742808449391537
Abortion Edit Indicator,-7.791220746701244e-05
predictions,-4.3667122417989647e-10
CCS Procedure Description,6.088424573973128e-05
Gender,0.00012493933605914608
Payment Typology 1,0.00014426122051998668
CCS Diagnosis Description,0.00044430206837117736
Patient Disposition,0.0006396668568064701
APR DRG Description,0.0009600385395204219
Payment Typology 3,0.0009759776885949617
CCS Procedure Code,0.0010139470774338023
Type of Admission,0.0013554166404267487
APR MDC Code,0.0014525572416640598
Race,0.001679916749269303
APR DRG Code,0.0026875540130250454
Ethnicity,0.002926613162921135
APR MDC Description,0.003171295590533105
Age Group,0.003869248297288702
Payment Typology 2,0.0042541552201356
CCS Diagnosis Code,0.005558795396692781
Emergency Department Indicator,0.0072658931195629965
APR Severity of Illness Code,0.007757845220525536
APR Medical Surgical Description,0.009040217337920445
Facility Id,0.011221774646165004
Birth Weight,0.014074134494613474
Hospital County,0.025202927763754046
Length of Stay,0.03295749561963163
Facility Name,0.03303375297901805
Health Service Area,0.037046129256487405
Operating Certificate Number,0.038133069798523
Zip Code - 3 digits,0.0395061924139213
Total Costs,1.148293169295278
