feature,mean_importance
Facility Id,1.6653345369377347e-17
Gender,1.6653345369377347e-17
Race,1.6653345369377347e-17
Abortion Edit Indicator,2.2204460492503132e-17
Ethnicity,2.2204460492503132e-17
APR MDC Description,2.2204460492503132e-17
Type of Admission,2.2204460492503132e-17
Patient Disposition,2.2204460492503132e-17
CCS Diagnosis Code,2.2204460492503132e-17
APR MDC Code,2.2204460492503132e-17
APR DRG Code,2.2204460492503132e-17
Health Service Area,2.7755575615628914e-17
Emergency Department Indicator,2.7755575615628914e-17
Payment Typology 2,2.7755575615628914e-17
APR Medical Surgical Description,2.7755575615628914e-17
APR Severity of Illness Code,2.7755575615628914e-17
CCS Procedure Description,2.7755575615628914e-17
CCS Procedure Code,2.7755575615628914e-17
APR DRG Description,3.3306690738754695e-17
APR Risk of Mortality,3.3306690738754695e-17
Payment Typology 1,3.3306690738754695e-17
Payment Typology 3,3.3306690738754695e-17
CCS Diagnosis Description,3.8857805861880476e-17
Age Group,2.3473126411877043e-05
Length of Stay,3.190482701139752e-05
APR Severity of Illness Description,3.9174090726662444e-05
Hospital County,0.00013778573157909312
Birth Weight,0.0004808568471915464
Facility Name,0.0008363298673351671
Operating Certificate Number,0.0010372751980100737
Zip Code - 3 digits,0.017828025250465136
predictions,0.20324678771197494
Total Costs,1.0267035332177024
